CBF,Apelido,Nome
146379,Michel Alves,Michel Aluizio da Cr ...
159483,Gledson,Gledson Ribeiro dos ...
186825,Elson,Elson Ferreira de Souza
158204,Luis Ricar ...,Luis Ricardo Silva U ...
430895,Yotun,Victor Yoshimar Yotu ...
160789,Lima Willian Lanes de,Lima
165075,Eder,Eder Luis de Oliveira
134212,Valdomiro  ...,Valdomiro Duarte de ...
402413,Carlos,Carlos Vicente Tenor ...
151104,Ferdinando,Ferdinando Pereira Leda
307406,Luan Garcia,Luan Garcia Teixeira
160357,Rogerio,Rogerio Rodrigues da...
357424,Fellipe,Fellipe Ramos Ignez  ...
176908,Diogo,Diogo Luis Santo
317751,Alisson,Alisson Euler de Fre ...
138048,Correa Carlos Rodrigo,Correa
156194,Renato,Renato Assis da Silva
190258,Romao,Luiz Fernando Borges...
167111,Sandro,Sandro Laurindo da Silva
136911,Souza Willamis de,Souza Silva
175011,Dakson,Dakson Soares da Silva
188158,Matheus,Matheus Humberto Max...
176350,Nei,Claudinei Cardoso Fe ...
139461,Lauro,Lauro Junior Batista...
170095,Pedro Ken,Pedro Ken Marimoto M ...
318248,Lucas,Lucas Rodrigues Ramo...
140053,Wendel Ger ...,Wendel Geraldo Mauri ...
317006,Ivan,Ivan Aparecido Martins
143841,Edmilson d ...,Edmilson dos Santos  ...
318691,Bruno Lima,Bruno Felipe Lima Te ...
186413,Abuda,Jucimar Lima Pacheco
178704,Mineiro,Moises Lima Magalhaes
165094,Diogo Silva,Diogo Jose Goncalves ...
186104,Henrique C ...,Henrique Campos Santos
165657,Thiago Hen ...,Thiago Henrique Silv ...
431476,Juan,Juan Jose Arraya
135462,Ricardo,Ricardo Ferreira Berna
169050,Weverton,Weverton Pereira da ...
167958,Welington  ...,Welington Pereira Ro ...
182423,Messias Manoel,Messias Silva...
147224,Rodrigo Ol ...,Rodrigo Oliveira de ...
322380,Cleberson,Cleberson Martins de...
317763,Elivelton,Elivelton Viana dos ...
182609,Deivid,Deivid Willian da Silva
144802,Anderson,Anderson Grasiane de ...
183902,Pedro Robe ...,Pedro Roberto Silva ...
129598,Felipe,Felipe Jorge Loureiro
293440,Marcelo Ci ...,Marcelo Cirino da Silva
